Key,Language,Translation
SEARCH_TIP,fr,Conseil : Vous pouvez effectuer une recherche au format « Titre : Auteur » afin d'obtenir des résultats plus précis.
SEARCHING_FOR_Q,en,🔎 Searching for: {q}
SEARCHING_FOR_Q,es,🔎 Buscando: {q} 
SEARCHING_FOR_Q,he,"🔍 מתבצע חיפוש עבור: ""{q}"""
SEARCHING_FOR_Q,yi,"🔍 מען סערטשט פאר: ""{q}"""
SEARCHING_FOR_Q,fr,🔍 Recherche : {q}
SHARE,en,♻️ Share ♻️
SHARE,es,♻️ Compartir ♻️ 
SHARE,he,♻️ שיתוף ♻️
SHARE,yi,♻️ שער♻️
SHARE,fr,♻️ Partager ♻️
SHAS,en,📚 Shas
SHAS,es, 📚 Shas 
SHAS,he,"📚 ש""ס"
SHAS,yi,"📚 ש""ס"
SHAS,fr,📚 Shas
SHAS_CMD,en,"!shas ברכות, יז:"
SHAS_CMD,es,"!shas ברכות, יז"
SHAS_CMD,he,"!שס ברכות, יז:"
SHAS_CMD,yi,"!ש''ס ברכות, יז:"
SHAS_CMD,fr,"!shas ברכות, יז:"
SHOW_STATS,en,"📊 Bot Stats 📊

📚 Books read: {books_read:,}
📖 Pages read: {pages_read:,}
🔎 Searches: {searches:,}"
SHOW_STATS,es,"📊 Estadísticas del bot 📊
📚 Libros leídos: {books_read:,} 
📖 Páginas leídas: {pages_read:,} 
🔎 Búsquedas: {searches:,}
"
SHOW_STATS,he,"📊 סטטיסטיקות הבוט 📊

📚 ספרים נקראו: {books_read:,}
📖 דפים נקראו: {pages_read:,}
🔎 חיפושים: {searches:,}"
SHOW_STATS,yi,"📊 באט סטעטס 📊 

📚ביכער געליינט: {books_read:,}
📖בלעטער געליינט: {pages_read:,}
🔎 סערטשיס: {searches:,}"
SHOW_STATS,fr,"📊 Statistiques du bot 📊
 

 ?? Livres lus : {books_read :,}
 ?? Pages lues : {pages_read :,}
 ?? Recherches : {recherches :,}"
SHOW_STATS_ADMIN,en,"📊 Bot Stats 📊

👥 Telegram users: {tg_users_count:,}
👥 WhatsApp users: {wa_users_count:,}
📚 Books read: {books_read:,}
📖 Pages read: {pages_read:,}
🔎 Inline Searches: {inline_searches:,}
💬 Message Searches: {msg_searches:,}
⏭ Jumps to page: {jumps:,}"
SHOW_STATS_ADMIN,es,"📊 Estadísticas del bot 📊
👥 Usuarios de Telegram: {tg_users_count:,} 
👥 Usuarios de WhatsApp: {wa_users_count:,} 
📚 Libros leídos: {books_read:,} 
📖 Páginas leídas: {pages_read:,} 
🔎 Búsquedas inline: {inline_searches:,} 
💬 Búsquedas por mensaje: {msg_searches:,} 
⏭ Saltos a página: {jumps:,}
"
SHOW_STATS_ADMIN,he,"📊 סטטיסטיקות הבוט 📊

👥 משתמשי טלגרם: {tg_users_count:,}
👥 משתמשי וואטסאפ: {wa_users_count:,}
📚 ספרים נקראו: {books_read:,}
📖 דפים נקראו: {pages_read:,}
🔎 חיפושים באינליין: {inline_searches:,}
💬 חיפושים בהודעות: {msg_searches:,}
⏭ קפיצות לדף: {jumps:,}"
SHOW_STATS_ADMIN,yi,"📊 באט סטעטס 📊

👥 טעלעגראם באנוצערס: {tg_users_count:,}
👥 וואצאפ באנוצערס: {wa_users_count:,}
📚 ספרים געליינט: {books_read:,}
📖 בלעטער געליינט: {pages_read:,}
🔎 אינליין סערטשיס: {inline_searches:,}
💬מעסעדזש סערטשיס: {msg_searches:,}
⏭ היפט צו די בלאט: {jumps:,}"
SHOW_STATS_ADMIN,fr,"📊 Statistiques du bot 📊

 ?? Utilisateurs de Telegram : {tg_users_count:,}
 ?? Utilisateurs de WhatsApp : {wa_users_count:,}
 ?? Livres lus : {books_read :,}
 ?? Pages lues : {pages_read :,}
 ?? Recherches en ligne : {inline_searches:,}
 ?? Recherches de messages : {msg_searches:,}
 ? Passe à la page : {jumps:,}"
SLOW_DOWN,en,Slow down...
SLOW_DOWN,es,Desacelerar…
SLOW_DOWN,he,אני לא מלאך.. לאט יותר
SLOW_DOWN,yi,שטארט...
SLOW_DOWN,fr,Ralentir...
START_SEARCH_INLINE,en,Start searching
START_SEARCH_INLINE,es,Empieza a buscar 
START_SEARCH_INLINE,he,התחילו לחפש
START_SEARCH_INLINE,yi,הייב אהן צו סערטשין
START_SEARCH_INLINE,fr,Commencer la recherche
STATS,en,📊 Stats
STATS,es,📊 Estadísticas 
STATS,he,📊 סטטיסטיקות
STATS,yi," 📊 סטאטס"
STATS,fr,📊 Statistiques
SUBJECTS,en,🗂 Subjects
SUBJECTS,es,🗂 Temas 
SUBJECTS,he,🗂 נושאים
SUBJECTS,yi,🗂 סאבזשעקטס
SUBJECTS,fr,?? Sujets
SUBJECTS_CMD,en,"!sub, מוסר"
SUBJECTS_CMD,es,"!tem, מוסר "
SUBJECTS_CMD,he,"!נושא, מוסר"
SUBJECTS_CMD,yi,"!סאבדזשעקט, מוסר"
SUBJECTS_CMD,fr,"!sub, מוסר"
TEXT,en,📜 Text
TEXT,es,📜 Texto 
TEXT,he,📜 טקסט
TEXT,yi,📜 טעקסט
TEXT,fr,📜 Texte
TG_WELCOME,en,"**📚 Welcome to the HebrewBook bot on Telegram! 📚**

This bot allows searching and browsing books on hebrewbooks.org

**⚡️ Features:**
	🔎 Searching for books in inline mode or by sending a message
	📓 Browsing through the Shas masechtot
	📚 Browse the library by category, date or letter
	📖 Reading mode as an image or as a PDF (text coming soon)
	⏩ Jump to page
	♻️ Sharing books with friends

**💡 Tips:**
	• To search for a book by title or author, use the format `title:author`
	• In Read Mode, you can jump to a page by replying to the message with the page number

**🔜 Coming soon:**
	• Search the contents of the books
	• Saving favorite books and bookmarks
	• Change language manually

__🕯 In memory of my grandfather, Rabbi Aharon Yitzchak ben Shmuel Zanvil z""l 🕯__"
TG_WELCOME,es,"📚 Bienvenido al bot de HebrewBook en Telegram! 📚
Este bot te permite buscar y explorar libros en hebrewbooks.org
⚡️ Características: 
🔎 Buscar libros en modo inline o enviando un mensaje 
📓 Explorar los masechtot del Shas 
📚 Navegar por la biblioteca por categoría, fecha o letra 
📖 Modo de lectura como imagen o como PDF (texto próximamente) 
⏩ Saltar a la página 
♻️ Compartir libros con amigos
💡 Consejos: 
• Para buscar un libro por título o autor, usa el formato título:autor 
• En el modo de lectura, puedes saltar a una página respondiendo al mensaje con el número de página
🔜 Próximamente: 
• Buscar el contenido de los libros 
• Guardar libros favoritos y marcadores 
• Cambiar el idioma manualmente
🕯 En memoria de mi abuelo, el rabino Aharon Yitzchak ben Shmuel Zanvil z""""l🕯
"
TG_WELCOME,he,"**📚 ברוכים הבאים לבוט היברובוקס בטלגרם! 📚**

בוט זה מאפשר לחפש ולעיין בספרים באתר hebrewbooks.org

**⚡️ פיצ'רים:**
	🔎 חיפוש ספרים במצב אינליין או על ידי שליחת הודעה
	📓 עיון במסכתות הש""ס
	📚 עיון בספריה לפי קטגוריה, תאריך או אות
	📖 מצב קריאה כתמונה או כקובץ PDF (טקסט בקרוב)
	⏪ קפיצה לעמוד
	♻️ שיתוף ספרים עם חברים

**💡 טיפים:**
	• כדי לחפש ספר לפי כותרת או מחבר, השתמשו בפורמט `כותרת:מחבר`
	• במצב קריאה, ניתן לקפוץ לדף מסוים על ידי תגובה להודעה עם מספר הדף

**🔜 בקרוב:**
	• חיפוש בתוכן הספרים
	• שמירת ספרים מועדפים וסימניות
	• שינוי שפה באופן ידני

__🕯 לעילוי נשמת סבי, הרב אהרן יצחק בן שמואל זנוויל ז""ל 🕯__"
TG_WELCOME,yi,"**📚 ברוכים הבאים צו דער היברובוקס באט אויף טעלעגראַם! 📚**

דער באט ערלויבט סערטשין און בראויזין ביכער אויף hebrewbooks.org

**⚡️פיטשערס:**
🔎סערטשט ביכער דורך אינליין מאויד אדער דורך שיקען א מעסעדזש
 📓 בראויזט אדורך דער מסכתות אין ש''ס
📚 בראויז דער אוצר לויט די קאטעגארי, דאטום , אדער אות
 📖 ליינען מאויד ווי א בילד אדער ווי א PDF (טעקסט קומט באלד) 
 ⏪ היפט צו דער בלאט
 ♻️ שער ביכער מיט חברים

*💡 עצות:*
• כדי צו סערטשין פאר א ביך לויט דער טיטעל אדער א מחבר, נוץ דער פארמאט 'title: author'     
• אין ליינען מאויד, מען קען היפען צו א בלאט דורך ענטפערין דעם מעסעדזש מיט דער בלאט נאמבער

**🔜 קומט באלד:**
        • סערטש דער אינהאלט פון דער ביכער
        • שפארט דער באליבסטע ביכער און בוקמארקס
        • טויש דער שפראך מאניואלי

__🕯 לעילוי נשמת מיין זיידע, הרב אהרן יצחק בן שמואל זנוויל ז""ל  🕯__"
TG_WELCOME,fr,**?? Bienvenue sur le bot HebrewBook
TUR_AND_SA,en,📓 Tur & Shulchan Aruch
TUR_AND_SA,es,📓 Tur & Shulján Aruj 
TUR_AND_SA,he,📓 טור ושולחן ערוך
TUR_AND_SA,yi,📓 טור און שולחן ערוך
TUR_AND_SA,fr,?? Tur & Shulchan Aruch
TUR_AND_SA_CMD,en,"!tur, טור יורה דעה קכז ג"
TUR_AND_SA_CMD,es,"!tur, טור יורה דעה קכז ג "
TUR_AND_SA_CMD,he,"!טור, טור יורה דעה קכז ג"
TUR_AND_SA_CMD,yi,"!טור, טור יורה דעה קכז ג"
TUR_AND_SA_CMD,fr,"!tur, טור יורה דעה קכז ג"
BOT_UNDER_MAINTENANCE,en,The bot is currently under maintenance. Please try again later.
BOT_UNDER_MAINTENANCE,es,"El bot está actualmente en mantenimiento. Por favor, inténtalo más tarde. "
BOT_UNDER_MAINTENANCE,he,הבוט כרגע בתחזוקה. נא לנסות שוב מאוחר יותר.
BOT_UNDER_MAINTENANCE,yi,"די באט ווערט יעצט ריפערד. ביטע, פרעביר שפעטער."
BOT_UNDER_MAINTENANCE,fr,Le bot est actuellement en maintenance. Veuillez réessayer plus tard.
